The_Project_Gutenberg_EBook the_project_gutenberg_ebook NP00000 1
of of NCMS000 1
Frei_Luiz_de_Sousa frei_luiz_de_sousa NP00000 1
, , Fc 1
by by NCMS000 0.600624
Almeida_Garrett_This almeida_garrett_this NP00000 1
eBook ebook NCMS000 0.250714
is is RG 0.524158
for ir VMSF1S0 0.249524
the the NCMS000 0.285903
use usar VMSP3S0 0.648498
of of NCMS000 1
anyone anyone NCMS000 0.857161
anywhere anywhere VMIP3S0 0.933327
at at NCMS000 0.777166
em em SP 1
o o DA0MS0 1
cost cost NCMS000 0.500289
and and AQ0CS00 0.5
with with NCFS000 1
almost almost AQ0CN00 0.499711
em em SP 1
o o DA0MS0 1
restrictions restrictions AQ0MP00 0.624879
whatsoever whatsoever NCMS000 0.124942
. . Fp 1

You you NP00000 1
may may NCMS000 0.600624
copy copy AQ0CS00 0.199929
it it NCMS000 1
, , Fc 1
give give VMIS1S0 0.499857
it it NCMS000 1
away away AQ0CS00 0.199929
or or NCMS000 0.664449
re-use re-use VMSI3S0 0.163094
it it NCMS000 1
under under VMN0000 0.930829
the the VMIP3S0 0.428559
terms terms NCMP000 1
of of NCMS000 1
the the VMIP3S0 0.428559
Project_Gutenberg_License project_gutenberg_license NP00000 1
included included AQ0MS00 1
with with NCFS000 1
this this RG 0.524158
eBook ebook AQ0CN00 0.49863
or or NCMS000 0.664449
online online RG 1
at at AQ0CN00 0.166289
www.gutenberg.org www.gutenberg.org NCMS000 0.788923
Title title NP00000 1
: : Fd 1
Frei_Luiz_de_Sousa_Author frei_luiz_de_sousa_author NP00000 1
: : Fd 1
Almeida_Garrett_Release_Date almeida_garrett_release_date NP00000 1
: : Fd 1
January january NP00000 1
23 23 Z 1
, , Fc 1
2006 2006 Z 1
[ [ Fca 1
EBook ebook NP00000 1
#17591 #17591 Z 1
] ] Fct 1
Language language NP00000 1
: : Fd 1
Portuguese portuguesar VMSP3S0 0.648498
*** *** Fz 1
START_OF_THIS_PROJECT_GUTENBERG_EBOOK_FREI_LUIZ_DE_SOUSA start_of_this_project_gutenberg_ebook_frei_luiz_de_sousa NP00000 1
*** *** Fz 1
Produced produced NP00000 1
by by NCMS000 0.600624
Rita_Farinha rita_farinha NP00000 1
and and AQ0CS00 0.5
the the VMIP3S0 0.428559
Online_Distributed_Proofreading_Team online_distributed_proofreading_team NP00000 1
at at NCMS000 0.777166
http://www.pgdp.net http://www.pgdp.net NCMS000 1
( ( Fpa 1
This this NP00000 1
file filar VMSP3S0 0.64852
was was NCFP000 0.573991
produced produced AQ0MS00 1
from from AQ0MS00 0.636155
images images NCFP000 1
generously generously AQ0CN00 1
made made NCFS000 1
available available NCMS000 1
by by AQ0CS00 0.199929
National_Library national_library NP00000 1
of of NCMS000 1
Portugal portugal NP00000 1
( ( Fpa 1
Biblioteca_Nacional_de_Portugal biblioteca_nacional_de_portugal NP00000 1
) ) Fpt 1
. . Fp 1
) ) Fpt 1
[ [ Fca 1
Figura figura NCFS000 0.796875
: : Fd 1
EDUARDO_BRAZ eduardo_braz NP00000 1
� � Fz 1
O o NP00000 1
, , Fc 1
interprete interpretar VMSP3S0 0.648523
principal principal AQ0CS00 0.99505
de de SP 1
� � Fz 1
Frei_Luiz_de_Souza frei_luiz_de_souza NP00000 1
� � Fz 1
] ] Fct 1
ALMEIDA_GARRETT_FREI_LUIZ_DE_SOUSA_DRAMA almeida_garrett_frei_luiz_de_sousa_drama NP00000 1
_ _ Fz 1
Representado representado NP00000 1
, , Fc 1
a o DA0FS0 0.675415
primeira primeiro AO0FS00 0.963287
vez vez NCFS000 1
, , Fc 1
em em SP 1
Lisboa lisboa NP00000 1
, , Fc 1
por por SP 1
uma um DI0FS0 0.903495
sociedade sociedade NCFS000 1
particular particular AQ0CS00 0.336957
, , Fc 1
em em SP 1
o o DA0MS0 1
theatro theatro NCMS000 1
de de SP 1
quinta quinta NCFS000 0.477273
de de SP 1
o o DA0MS0 0.950254 o PD0MS00 0.0313531 o PP3MSA0 0.0183743 o NCMS000 1.85412e-005
Pinheiro pinheiro NP00000 1
em em SP 1
quatro_de_Julho [??:4/7/??:??.??:??] W 1
de de SP 1
_ _ Fz 1
MDCCCXLIII_ESCRIPTORIO_DE_PUBLICA mdcccxliii_escriptorio_de_publica NP00000 1
� � Fz 1
� � Fz 1
ES_DE_FERREIRA_DOS_SANTOS_Rua_de_Santa_Catharina es_de_ferreira_dos_santos_rua_de_santa_catharina NP00000 1
, , Fc 1
231 231 Z 1
PORTO_Imprensa_Commercial porto_imprensa_commercial NP00000 1
